"user_primary_key","video_min_date","video_max_date","video_days","video_use_time","video_n_life","video_kind_life","vido_n_finish","video_n_school","video_repeat_rate","video_finish_rate","video_school_rate","video_finish_time","video_kind_finish","video_finish_school","video_f_time_mean","video_f_repeat_rate","video_f_school_rate","video_use_time_s1","video_n_s1","video_kind_s1","video_finish_time_s1","video_finish_s1","video_kind_finish_s1","video_finish_time_mean_s1","video_use_time_s2","video_n_s2","video_kind_s2","video_finish_time_s2","video_finish_s2","video_kind_finish_s2","video_finish_time_mean_s2"
"-2554348364803736435",2015-04-08,2015-04-08,0,53,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,53,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2556344502879562855",2015-09-10,2015-09-26,16,1584,6,6,6,3,1,1,0.5,1584,6,3,264,1,0.5,NA,NA,NA,NA,NA,NA,NA,1584,6,6,1584,6,6,264
"-2573448422598859680",2015-09-15,2015-09-15,0,171,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,2,2,NA,NA,NA,NA
"-2584471990061845666",2014-11-12,2014-11-12,0,308,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2585409546778705014",2014-06-19,2014-06-19,0,533,5,5,1,0,1,0.2,0,228,1,0,228,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2596143149001281721",2015-10-21,2015-10-28,7,186,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,2,2,NA,NA,NA,NA
"-2600853849513976696",2014-04-18,2015-10-20,550,7817,36,34,34,1,0.944,0.944,0.028,7793,32,1,229.206,0.941,0.029,1106,6,6,1106,6,6,184.333333333333,1594,5,3,1594,5,3,318.8
"-2604412306251811369",2015-05-28,2015-10-29,154,1397,10,10,2,10,1,0.2,1,598,2,2,299,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2607013438087526729",2015-04-29,2015-04-29,0,16,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2611989849644349005",2015-09-09,2015-09-09,0,50,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,1,NA,NA,NA,NA
"-2636268221542652380",2015-09-24,2015-09-24,0,107,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1,1,NA,NA,NA,NA
"-2641266107870871668",2015-05-21,2015-05-21,0,48,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2644408713010376278",2015-04-20,2015-04-20,0,14,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
