user_primary_key_hash,pre_exam,post_exam
7068939883984194998,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
707023951647604950,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7070890293867220181,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
7072847776590781864,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
708047764992288575,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
7081970983223719130,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
7083405069763661520,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
7083411998524220356,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
7083532923902347874,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7083983224595962596,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
7086093841388071476,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7090097552804304227,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7090823376047812571,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7094237607559510154,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7096987705228026298,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7097563614614253783,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
7100517269917516396,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7100587370731488241,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7103216114926312515,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7104425260033789,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7110794094247960280,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
7113651625382973680,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7114428295823630748,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7121676798857412586,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7125872841251900374,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7129858259970440218,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
